,,,,,,,,
Параметры:,,,Начало периода: 01.01.2000 0:00:00,,,,,
,,,Конец периода: 31.12.2014 23:59:59,,,,,
,,,Склады: Щука,,,,,
,,,,,,,,
Период,,Склад,,Номенклатура,,Код,Количество начальный остаток,Количество расход
11.07.2014,,Щука,,Батарейки мизинчиковые ААА  LR03 12 в уп. батарейка,,УТ000001012,144.000,3.000
11.07.2014,,Щука,,Блокнотик Светская львица,,СК-00001146,1.000,1.000
11.07.2014,,Щука,,Визитница Для покупочек,,01-00002742,2.000,1.000
11.07.2014,,Щука,,Визитница Мои скидочки,,01-00000889,2.000,1.000
11.07.2014,,Щука,,Визитница Особы приближенные к императору,,УТ000000026,2.000,1.000
11.07.2014,,Щука,,Говорящий Хомяк коричневый,,01-00001017,6.000,1.000
11.07.2014,,Щука,,"Жвачка ""Love is..."" блок один вкус",,УТ-00000024,140.000,1.000
11.07.2014,,Щука,,Игра Воображариум,,01-00002652,2.000,1.000
11.07.2014,,Щука,,Игра с карточками Для двоих,,01-00002938,3.000,2.000
11.07.2014,,Щука,,Карты Территория соблазна,,06-00000007,5.000,4.000
11.07.2014,,Щука,,Коврик Денежный магнит,,01-00000902,2.000,1.000
11.07.2014,,Щука,,Колокольчик Неси пива!,,01-00000554,2.000,1.000
11.07.2014,,Щука,,Кружка Цирк (с крышкой),,06-00000112,2.000,1.000
11.07.2014,,Щука,,Маска для сна Соня,,01-00002479,3.000,1.000
11.07.2014,,Щука,,Набор Пирата Веселый Роджер,,01-00003014,2.000,1.000
11.07.2014,,Щука,,Напиток Coca-Cola Vanilla (в пачке 12 шт.),,01-00003154,12.000,2.000
11.07.2014,,Щука,,Напиток Dr Pepper Cherry,,01-00003151,12.000,1.000
11.07.2014,,Щука,,Напиток Fanta Strawberry,,01-00003157,12.000,1.000
11.07.2014,,Щука,,Напиток Доктор Пеппер (в пачке 12 шт.),,СК-00000830,144.000,1.000
11.07.2014,,Щука,,НИ Блокнотик Самое интересное,,01-00000589,2.000,1.000
11.07.2014,,Щука,,НИ Массажер для головы Шиацу,,СК-00000979,15.000,1.000
11.07.2014,,Щука,,Обложка на паспорт Британский флаг кожаная,,00-00000173,1.000,1.000
11.07.2014,,Щука,,Открытка Ты лучший 10001,,01-00001701,5.000,1.000
11.07.2014,,Щука,,Пакет Горячительный подарок ML,,01-00000561,4.000,1.000
11.07.2014,,Щука,,Пакет Посылка счастья S ,,06-00000152,5.000,1.000
11.07.2014,,Щука,,Пакет Только для тебя MS,,01-00000948,5.000,1.000
11.07.2014,,Щука,,Пакет Хорошему человеку L гориз ,,01-00001194,5.000,1.000
11.07.2014,,Щука,,Ручка Мороженое в упаковке 24 шт.,,УТ000000924,6.000,2.000
11.07.2014,,Щука,,Термос Для хорошего настроения,,01-00002527,2.000,1.000
11.07.2014,,Щука,,Часы настенные Ретро мелодия пластинка,,01-00002119,2.000,1.000
11.07.2014,,Щука,,Чековая книжка желаний Для Неё ,,01-00002450,2.000,2.000
11.07.2014,,Щука,,Шашки пьяные,,0К-00000002,2.000,1.000
11.07.2014,,Щука,,Эротические кубики ,,СК-00001052,10.000,2.000
12.07.2014,,Щука,,Батарейки мизинчиковые ААА  LR03 12 в уп. батарейка,,УТ000001012,141.000,4.000
12.07.2014,,Щука,,Блокнотик Аттестат мастера ,,01-00001215,2.000,1.000
12.07.2014,,Щука,,Брелок Шар 8,,00-00000424,5.000,1.000
12.07.2014,,Щука,,"Жвачка ""Love is..."" блок один вкус",,УТ-00000024,139.000,2.000
12.07.2014,,Щука,,Звонок Для управления женой,,СК-00001003,2.000,1.000
12.07.2014,,Щука,,Звонок Любви и понимания / Требую внимания,,01-00000418,2.000,1.000
12.07.2014,,Щука,,Игра Активити,,00-00000003,3.000,1.000
12.07.2014,,Щука,,Игра Воображариум,,01-00002652,1.000,1.000
12.07.2014,,Щука,,Игра Уно,,00-00000005,4.000,1.000
12.07.2014,,Щука,,"Карандаш гнущийся 32 см или 29,6 в упаковке 5 шт.",,УТ000000861,20.000,1.000
12.07.2014,,Щука,,Книга шкатулка Энциклопедия богатства дерево малый,,01-00002648,2.000,1.000
12.07.2014,,Щука,,Конверт для денег 1000 руб. маленький 10 шт. в пачке,,РТ-00000016,10.000,1.000
12.07.2014,,Щука,,Конверт для денег Шоколад маленький,,01-00000009,10.000,1.000
12.07.2014,,Щука,,Кружка Полчашечки кофе,,01-00002475,2.000,2.000
