,,,,,,,,
Параметры:,,,Начало периода: 01.01.2017 0:00:00,,,,,
,,,Конец периода: 31.12.2017 23:59:59,,,,,
,,,Склады: Щука,,,,,
,,,,,,,,
Период,,Склад,,Номенклатура,,Код,Количество начальный остаток,Количество расход
02.01.2017,,Щука,,Ароматизатор 100$ сто долларов,,01-00000343,9.000,1.000
02.01.2017,,Щука,,Ароматизатор Елочка,,99-00001129,28.000,1.000
02.01.2017,,Щука,,Батарейки пальчиковые АА  LR06 16 в уп. батарейка,,УТ000001013,404.000,2.000
02.01.2017,,Щука,,"Бокал пивной Пьянометр 1,5",,01-00001242,1.000,1.000
02.01.2017,,Щука,,Вешалка Супермен Superman,,01-00001027,2.000,1.000
02.01.2017,,Щука,,Вирусный стрессбол Лизун мяч в сетке (12 шт. в пачке),,УТ000000739,27.000,1.000
02.01.2017,,Щука,,Зеркало Шоколад маленькое квадратное,,УТ000000852,3.000,1.000
02.01.2017,,Щука,,Значок Спортсменка комсомолка и просто красавица,,99-00001128,5.000,2.000
02.01.2017,,Щука,,ИА Зая ушастый (синий),,99-00000644,5.000,1.000
02.01.2017,,Щука,,Игра Ахи вздохи набор,,01-00002650,6.000,1.000
02.01.2017,,Щука,,Игра Жуткие данетки,,99-00003120,2.000,1.000
02.01.2017,,Щука,,Игра Позитивиум,,99-00001704,2.000,1.000
02.01.2017,,Щука,,"Игра Территория соблазна набор малый кубики, карты",,01-00003465,14.000,1.000
02.01.2017,,Щука,,Игрушка Sheep Ball овечка,,01-00003484,6.000,1.000
02.01.2017,,Щука,,Игрушка Котик Pusheen,,99-00002981,3.000,1.000
02.01.2017,,Щука,,Карты для покера,,СК-00000510,16.000,1.000
02.01.2017,,Щука,,Карты Территория соблазна,,06-00000007,9.000,2.000
02.01.2017,,Щука,,Кигуруми детский Единорог р-р 125,,99-00003080,4.000,1.000
02.01.2017,,Щука,,Кигуруми Единорог голубой р-р S,,99-00002835,11.000,1.000
02.01.2017,,Щука,,Кигуруми Панда р-р XL,,99-00002289,,1.000
02.01.2017,,Щука,,Коврик для туалета Ни капли мимо,,01-00001910,1.000,1.000
02.01.2017,,Щука,,Консервированные носки Сурового рыбака,,99-00001992,11.000,2.000
02.01.2017,,Щука,,Копилка Лабиринт,,СК-00000220,5.000,1.000
02.01.2017,,Щука,,Кружка Жена царя,,01-00001321,2.000,1.000
02.01.2017,,Щука,,Кружка Звездные войны Дарт Вейдер черная (стекло) ,,99-00001699,9.000,1.000
02.01.2017,,Щука,,Леденец Круглый Лолли,,99-00000553,5.000,1.000
02.01.2017,,Щука,,Леденец Мистер Боб в упаковке 15 шт.,,99-00002994,58.000,2.000
02.01.2017,,Щука,,Леденцы Toxic красные (12 шт. в пачке),,99-00002703,2.000,1.000
02.01.2017,,Щука,,Леденцы Бобы Бин Бузлд (Гарри Поттера) коробка 45гр (24 шт. в пачке),,99-00002995,102.000,2.000
02.01.2017,,Щука,,Леденцы Бобы Бин Бузлд (Гарри Поттера) пакет 54гр (12 шт. в пачке),,99-00001657,64.000,1.000
02.01.2017,,Щука,,Маска для сна Царь ,,01-00002881,5.000,1.000
02.01.2017,,Щука,,Массажер для тела Мультифункциональный,,99-00000905,3.000,1.000
02.01.2017,,Щука,,Набор для вина с шахматами ,,06-00000134,1.000,1.000
02.01.2017,,Щука,,Набор для выращивания С Новым годом Кедр,,99-00003004,13.000,2.000
02.01.2017,,Щука,,Набор для выращивания С Новым годом Туя,,99-00003005,12.000,1.000
02.01.2017,,Щука,,Набор для выращивания Цветок желаний (Астра),,99-00001910,8.000,2.000
02.01.2017,,Щука,,Набор для выращивания Я люблю чай с мятой 24 шт. в коробке,,99-00001905,6.000,1.000
02.01.2017,,Щука,,Набор рюмок Вагон ресторан Москва-Владивосток,,99-00001312,2.000,1.000
02.01.2017,,Щука,,Напиток Dr Pepper Cherry,,01-00003151,8.000,1.000
02.01.2017,,Щука,,Напиток Fanta Grape в упак 12 шт,,99-00003070,63.000,1.000
02.01.2017,,Щука,,Напиток Fanta Peach в упак 12 шт,,99-00003073,44.000,1.000
02.01.2017,,Щука,,Наушники Macarons макаруны,,99-00000742,38.000,1.000
02.01.2017,,Щука,,Наушники Пилюли,,СК-00001131,8.000,1.000
02.01.2017,,Щука,,Открытка мини Медвежонок (НГ) в упак 20 шт,,99-00003163,9.000,1.000
02.01.2017,,Щука,,Пакет Бант Поздравляю синий  горизонт S,,99-00000138,2.000,1.000
02.01.2017,,Щука,,Пакет Все будет в шоколаде MS,,СК-00001016,4.000,1.000
02.01.2017,,Щука,,Пакет Дедушка Мороз ML ,,99-00001132,71.000,1.000
02.01.2017,,Щука,,Пакет Ёлочка ажурная ML ,,99-00001163,12.000,1.000
02.01.2017,,Щука,,Пакет Крафт фиолетовый MS в пачке по 12 шт.,,99-00002870,5.000,1.000
02.01.2017,,Щука,,Пакет Рождественский венок MS,,99-00002855,8.000,1.000
02.01.2017,,Щука,,Печенье с предсказанием Love is (в пачке 12 шт.),,99-00003113,2.000,1.000
02.01.2017,,Щука,,Плед с рукавами Sleepy Original (синий),,01-00003113,-2.000,1.000
02.01.2017,,Щука,,"Подголовник Главное, завтрак не проспать",,99-00001976,4.000,1.000
02.01.2017,,Щука,,Подголовник Царь спит,,99-00001978,3.000,1.000
02.01.2017,,Щука,,Подушка автомобильная Царь,,01-00001428,8.000,1.000
02.01.2017,,Щука,,Покебол,,99-00002713,10.000,1.000
02.01.2017,,Щука,,Портативный аккумулятор Смайлик Единорог,,99-00003262,5.000,1.000
02.01.2017,,Щука,,Рында корабельная малая,,СК-00000540,2.000,1.000
02.01.2017,,Щука,,Сладкие консервы Вкус денег в коробке 24 шт.,,99-00000736,10.000,1.000
02.01.2017,,Щука,,Сладкие консервы Опасные сладости в коробке 24 шт.,,99-00000727,4.000,1.000
02.01.2017,,Щука,,Сладкие консервы Чтобы жизнь малиной оказалась в коробке 24 шт.,,99-00000731,10.000,1.000
02.01.2017,,Щука,,Сладкое средство До и После секса в коробке 12 шт.,,99-00000561,4.000,1.000
02.01.2017,,Щука,,Табличка на дверь Оптимистам сюда/Занудам не беспокоить,,01-00000085,1.000,1.000
02.01.2017,,Щука,,Табличка на стол Шеф всегда я / Сегодня я злой,,УТ-00000296,1.000,1.000
02.01.2017,,Щука,,Термос Сова,,99-00001758,3.000,1.000
02.01.2017,,Щука,,Фартук Лучший шеф-повар в мире,,99-00000036,8.000,1.000
02.01.2017,,Щука,,Фартук Супер повар,,99-00000347,3.000,1.000
02.01.2017,,Щука,,Флешка Эскимо 8Гб,,01-00000271,1.000,1.000
02.01.2017,,Щука,,Форма для яичницы Сова,,01-00003384,3.000,1.000
02.01.2017,,Щука,,Чай Для горячего парня,,99-00002439,2.000,1.000
02.01.2017,,Щука,,Чай С Новым годом,,99-00003008,15.000,1.000
02.01.2017,,Щука,,Чековая книжка желаний Для Неё ,,01-00002450,27.000,1.000
02.01.2017,,Щука,,"Шокобокс Спасибо, Джек",,99-00002637,2.000,1.000
02.01.2017,,Щука,,Щетка Танки грязи не боятся,,01-00001354,4.000,1.000
03.01.2017,,Щука,,Ароматизатор Матрешка,,99-00002321,6.000,1.000
03.01.2017,,Щука,,Батарейки мизинчиковые ААА  LR03 12 в уп. батарейка,,УТ000001012,345.000,3.000
03.01.2017,,Щука,,Батарейки пальчиковые АА  LR06 16 в уп. батарейка,,УТ000001013,402.000,2.000
03.01.2017,,Щука,,Блокнот Закончи эту книгу,,99-00002046,15.000,1.000
03.01.2017,,Щука,,Блокнот Один день из жизни енота,,99-00002049,11.000,1.000
03.01.2017,,Щука,,Блокнот Открой мир заново,,99-00002048,3.000,1.000
03.01.2017,,Щука,,Брелок Смайлик Смеющийся до слез (4 шт. в пачке),,99-00002021,6.000,1.000
03.01.2017,,Щука,,Бутыль для соусов и масла Фьюжн,,99-00001734,1.000,1.000
03.01.2017,,Щука,,Вирусный стрессбол Лизун мяч в сетке (12 шт. в пачке),,УТ000000739,26.000,6.000
