,,,,,,,,
Параметры:,,,Начало периода: 01.01.2015 0:00:00,,,,,
,,,Конец периода: 31.12.2015 23:59:59,,,,,
,,,Склады: Щука,,,,,
,,,,,,,,
Период,,Склад,,Номенклатура,,Код,Количество начальный остаток,Количество расход
02.01.2015,,Щука,,"1948 DVD-открытка ""Ты родился"" 1948",,01-00002356,1.000,1.000
02.01.2015,,Щука,,Ароматизатор Гонщик экстремал ,,01-00002661,4.000,1.000
02.01.2015,,Щука,,Ароматизатор Не ссы доедем Котэ ,,01-00002281,13.000,1.000
02.01.2015,,Щука,,Батарейки мизинчиковые ААА  LR03 12 в уп. батарейка,,УТ000001012,179.000,6.000
02.01.2015,,Щука,,Батарейки пальчиковые АА  LR06 16 в уп. батарейка,,УТ000001013,321.000,5.000
02.01.2015,,Щука,,Блокнотик Айфон 4,,СК-00000209,9.000,3.000
02.01.2015,,Щука,,"Бокал пивной Пьянометр 1,5",,01-00001242,3.000,1.000
02.01.2015,,Щука,,Брелок Королева,,01-00000356,1.000,1.000
02.01.2015,,Щука,,Брелок Лучшая подруга,,01-00001174,3.000,1.000
02.01.2015,,Щука,,Брелок Лучший друг,,01-00001039,2.000,1.000
02.01.2015,,Щука,,Бутылка для спорта Здоровый образ жизни,,99-00000049,3.000,1.000
02.01.2015,,Щука,,Варежки для двоих Сладкая парочка ,,99-00000209,4.000,1.000
02.01.2015,,Щука,,Говорящий Хомяк серый,,01-00001018,5.000,1.000
02.01.2015,,Щука,,Грамота За неугомонность,,СК-00000396,1.000,1.000
02.01.2015,,Щука,,Грамота За то что ты есть,,СК-00000398,2.000,1.000
02.01.2015,,Щука,,Диплом А4 Женщина года ,,99-00000212,1.000,1.000
02.01.2015,,Щука,,"Жвачка ""Love is..."" блок один вкус",,УТ-00000024,264.000,3.000
02.01.2015,,Щука,,Забавная пачка денег Доллары,,УТ000000846,156.000,2.000
02.01.2015,,Щука,,ИА Коты Love,,01-00002718,2.000,1.000
02.01.2015,,Щука,,ИА Счастливый сон грудь ,,01-00000604,5.000,2.000
02.01.2015,,Щука,,Игра Монополька,,01-00001609,1.000,1.000
02.01.2015,,Щука,,Игра с карточками Для двоих,,01-00002938,57.000,3.000
02.01.2015,,Щука,,Игра Скажи иначе,,01-00003466,5.000,1.000
